"Bro really thought he cooked with this take 💀",-0.60,-0.75
"honestly this restored my faith in humanity, wishing you the best! <3",0.40,0.95
"While I understand the emotional response, the empirical data suggests a more nuanced reality.",0.90,0.05
"just end it all already tbh",-0.90,-0.90
"skibidi toilet rizz only in ohio fr fr no cap",-0.80,0.10
"what the sigma is bro waffling about 😭",-0.65,-0.50
"he definitely has W W rizz, bro is looksmaxxing",-0.50,0.60
"bro got fanum taxed in real life💀",-0.60,-0.20
"this is giving very much npc energy",-0.55,-0.60
"blud is NOT him 🙅‍♂️",-0.70,-0.75
"chat is this real?",-0.40,0.00
"bro is onto NOTHING 🗣️🔥",-0.75,-0.80
"we making it out of the hood with this one 💯",-0.30,0.85
"let him cook... wait no turn the stove off",-0.60,-0.50
"MOTHER IS MOTHERING!!! SHE ATE AND LEFT NO CRUMBS 💅✨",-0.70,0.95
"flop era incoming i fear... she's so over",-0.65,-0.70
"gagged them a bit! periodt.",-0.50,0.75
"rent free in your head bestie 😌",-0.40,-0.40
"the way i screamed when i saw this- literally crying and throwing up",-0.90,0.80
"ended that jobless freak",-0.85,-0.90
"main pop girlie energy right here",-0.30,0.85
"we love to see it 😍",-0.10,0.90
"they could never make me hate you",-0.40,0.85
"it's giving desperate, honestly",-0.60,-0.75
"jungle diff, absolute trash team please uninstall",-0.95,-0.95
"skill issue tbh",-0.60,-0.50
"ez clap, literally playing against bots",-0.80,-0.40
"my guy is hardstuck bronze and talking mad smack",-0.75,-0.70
"touch grass you absolute degenerate",-0.90,-0.85
"Imagine losing to a team with no comms 🤡",-0.80,-0.80
"ur literally dogwater my guy",-0.85,-0.85
"get out of my lobby kid",-0.85,-0.75
"gg wp everyone, super close match! <3",0.50,0.90
"sweat harder bro, it's just a casual game",-0.65,-0.60
"That is a textbook ad hominem fallacy; please address the actual argument.",0.85,-0.40
"If we approach this from a utilitarian framework, the net suffering outweighs the benefits.",0.90,-0.20
"Statistically speaking, your anecdotal evidence is irrelevant to the broader macroeconomic trend.",0.85,-0.50
"While I concede that point, you are ignoring the geopolitical nuances of the situation.",0.80,-0.10
"Let's steelman your argument for a second before I deconstruct it.",0.75,0.10
"Empirically verifiable data contradicts your core thesis.",0.90,-0.30
"Correlation does not equal causation, a fundamental principle you seem to have missed.",0.85,-0.40
"I'd recommend reading some actual peer-reviewed literature before posting such drivel.",0.60,-0.70
"A fascinating paradigm shift, though it requires further longitudinal study to be conclusive.",0.95,0.40
"Your cognitive dissonance is palpable.",0.70,-0.60
"amogus sus imposter ඞ",-0.80,0.00
"I sexually Identify as an Attack Helicopter.",-0.70,-0.40
"Sir, this is a Wendy's.",-0.40,-0.30
"To be fair, you have to have a very high IQ to understand Rick and Morty.",-0.50,-0.20
"my dad works at roblox and he will ban your account",-0.85,-0.60
"We've been trying to reach you about your car's extended warranty.",0.30,0.00
"born to dilly dally, forced to lock in",-0.40,-0.10
"I'm not reading all that. I'm happy for u tho. Or sorry that happened.",-0.50,-0.40
"shidding and farding rn",-0.80,-0.10
"L + ratio + you fell off + touch grass + bozo",-0.85,-0.80
"You are so incredibly loved and valued, please don't ever forget that! 🥺💖",0.20,0.95
"Huge W! So incredibly proud of all the hard work you put into this!",0.40,0.90
"Take a deep breath. You survived 100% of your bad days. You got this.",0.60,0.85
"sending virtual hugs to anyone who needs them today 🫂",0.30,0.90
"This is the most beautiful thing I've seen all week.",0.40,0.95
"Remember to drink water and take care of yourself, kings and queens.",0.50,0.85
"It costs nothing to be kind. Beautiful message.",0.70,0.90
"Your art has improved so much! The lighting here is phenomenal.",0.60,0.85
"thank you for sharing your story, it made me feel less alone.",0.50,0.80
"W mans, W take, W life.",-0.20,0.85
"Wow, it's almost as if actions have consequences! Who could have guessed?",-0.70,-0.65
"Bless your heart, you really tried your best didn't you.",-0.60,-0.70
"Oh look, another completely original thought that definitely hasn't been said 1000 times.",-0.75,-0.75
"Tell me you don't know anything about economics without telling me.",-0.65,-0.70
"I love how confident you are while being completely wrong.",-0.70,-0.80
"Thanks for the unsolicited advice, I'll be sure to file it in the trash.",-0.80,-0.85
"Really groundbreaking stuff here. Did it take you all day to come up with that?",-0.75,-0.75
"I wish I had the unearned confidence of a mediocre white man on a podcast.",-0.80,-0.80
